Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/70 | loss_total=1.9957 recon=0.0553 hsic=0.0212 pred=0.3449
[Full DLC (SOTA)] Val@Ep10 | score=1003.1222 AUC=0.7961 Acc=0.8463 F1=0.5793 PEHE=0.0431 dCATE=0.1236 Sens=0.0087 thr=0.33 feasible=1
[Full DLC (SOTA)] Epoch 10/70 | loss_total=1.9118 recon=0.0209 hsic=0.0214 pred=0.3434
[Full DLC (SOTA)] Val@Ep15 | score=1003.1205 AUC=0.7993 Acc=0.8241 F1=0.5775 PEHE=0.0249 dCATE=0.1425 Sens=0.0118 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 15/70 | loss_total=1.8766 recon=0.0138 hsic=0.0209 pred=0.3421
[Full DLC (SOTA)] Val@Ep20 | score=1003.1431 AUC=0.7963 Acc=0.8285 F1=0.5769 PEHE=0.0215 dCATE=0.1648 Sens=0.0141 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 20/70 | loss_total=1.8302 recon=0.0123 hsic=0.0208 pred=0.3345
[Full DLC (SOTA)] Val@Ep25 | score=1003.1042 AUC=0.7931 Acc=0.8274 F1=0.5682 PEHE=0.0261 dCATE=0.1513 Sens=0.0170 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 25/70 | loss_total=1.7916 recon=0.0104 hsic=0.0206 pred=0.3281
[Full DLC (SOTA)] Val@Ep30 | score=1003.0779 AUC=0.7963 Acc=0.8129 F1=0.5579 PEHE=0.0349 dCATE=0.1848 Sens=0.0280 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 30/70 | loss_total=1.7578 recon=0.0103 hsic=0.0206 pred=0.3213
[Full DLC (SOTA)] Val@Ep35 | score=1003.0765 AUC=0.7943 Acc=0.8140 F1=0.5594 PEHE=0.0255 dCATE=0.1758 Sens=0.0335 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 35/70 | loss_total=1.7266 recon=0.0102 hsic=0.0204 pred=0.3156
[Full DLC (SOTA)] Val@Ep40 | score=1003.0328 AUC=0.7922 Acc=0.8341 F1=0.5526 PEHE=0.0325 dCATE=0.1200 Sens=0.0383 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 40/70 | loss_total=1.6946 recon=0.0096 hsic=0.0200 pred=0.3101
[Full DLC (SOTA)] Val@Ep45 | score=1003.0214 AUC=0.7928 Acc=0.8040 F1=0.5487 PEHE=0.0195 dCATE=0.1522 Sens=0.0397 thr=0.14 feasible=1
[Full DLC (SOTA)] Epoch 45/70 | loss_total=1.6626 recon=0.0084 hsic=0.0201 pred=0.3045
[Full DLC (SOTA)] Val@Ep50 | score=1002.9985 AUC=0.7902 Acc=0.8174 F1=0.5393 PEHE=0.0244 dCATE=0.1294 Sens=0.0382 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 50/70 | loss_total=1.6404 recon=0.0081 hsic=0.0200 pred=0.3005
[Full DLC (SOTA)] Val@Ep55 | score=1002.9865 AUC=0.7868 Acc=0.8107 F1=0.5355 PEHE=0.0294 dCATE=0.1522 Sens=0.0459 thr=0.14 feasible=1
[Full DLC (SOTA)] Epoch 55/70 | loss_total=1.6245 recon=0.0081 hsic=0.0198 pred=0.2977
[Full DLC (SOTA)] Val@Ep60 | score=1003.0201 AUC=0.7881 Acc=0.8274 F1=0.5401 PEHE=0.0216 dCATE=0.1492 Sens=0.0513 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 60/70 | loss_total=1.6274 recon=0.0079 hsic=0.0197 pred=0.2977
[Full DLC (SOTA)] Val@Ep65 | score=1002.9912 AUC=0.7885 Acc=0.8073 F1=0.5362 PEHE=0.0248 dCATE=0.1651 Sens=0.0554 thr=0.14 feasible=1
