Imports completed. Initializing device...
Device used: cuda
============================================================
Lambda CATE密集扫描 (基于最终PARAMS)
============================================================

>>> lambda_cate = 0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5320
    [Pre-train Seed=42] Ep 100/200 Loss=1.4177
    [Pre-train Seed=42] Ep 150/200 Loss=1.3997
    [Pre-train Seed=42] Ep 200/200 Loss=1.3815
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7684
    [Fine-tune Seed=42] Ep 40/100 Loss=1.5898
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6296
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5421
    [Fine-tune Seed=42] Ep 100/100 Loss=1.5898
  Seed 42: AUC=0.7918, CATE=0.0625, PEHE=0.1335
    [Pre-train Seed=43] Ep 50/200 Loss=1.5075
    [Pre-train Seed=43] Ep 100/200 Loss=1.4155
    [Pre-train Seed=43] Ep 150/200 Loss=1.3993
    [Pre-train Seed=43] Ep 200/200 Loss=1.3821
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7556
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7129
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6720
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5509
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6358
  Seed 43: AUC=0.7822, CATE=0.0376, PEHE=0.1342
    [Pre-train Seed=44] Ep 50/200 Loss=1.4990
    [Pre-train Seed=44] Ep 100/200 Loss=1.4200
    [Pre-train Seed=44] Ep 150/200 Loss=1.4037
    [Pre-train Seed=44] Ep 200/200 Loss=1.3887
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8209
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7288
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7201
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6031
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7088
  Seed 44: AUC=0.7899, CATE=0.0931, PEHE=0.1279
  平均: AUC=0.7879±0.0050, CATE=0.0644±0.0278

>>> lambda_cate = 0.5
    [Pre-train Seed=42] Ep 50/200 Loss=1.5317
    [Pre-train Seed=42] Ep 100/200 Loss=1.4180
    [Pre-train Seed=42] Ep 150/200 Loss=1.4000
    [Pre-train Seed=42] Ep 200/200 Loss=1.3817
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7698
    [Fine-tune Seed=42] Ep 40/100 Loss=1.5973
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6409
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5561
    [Fine-tune Seed=42] Ep 100/100 Loss=1.5966
  Seed 42: AUC=0.7914, CATE=0.1210, PEHE=0.1260
    [Pre-train Seed=43] Ep 50/200 Loss=1.5087
    [Pre-train Seed=43] Ep 100/200 Loss=1.4164
    [Pre-train Seed=43] Ep 150/200 Loss=1.4004
    [Pre-train Seed=43] Ep 200/200 Loss=1.3828
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7543
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7269
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6836
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5650
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6455
