Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/65 | loss_total=1.9938 recon=0.0550 hsic=0.0213 pred=0.3450
[Full DLC (SOTA)] Val@Ep8 | score=1003.2427 AUC=0.7985 Acc=0.8296 F1=0.5762 PEHE=0.0450 dCATE=0.1088 Sens=0.0084 thr=0.31 feasible=1
[Full DLC (SOTA)] Epoch 10/65 | loss_total=1.9075 recon=0.0189 hsic=0.0213 pred=0.3432
[Full DLC (SOTA)] Val@Ep12 | score=1003.2410 AUC=0.7958 Acc=0.8196 F1=0.5737 PEHE=0.0402 dCATE=0.1325 Sens=0.0099 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 15/65 | loss_total=1.8760 recon=0.0131 hsic=0.0210 pred=0.3421
[Full DLC (SOTA)] Val@Ep16 | score=1003.2935 AUC=0.7989 Acc=0.8263 F1=0.5761 PEHE=0.0182 dCATE=0.1527 Sens=0.0117 thr=0.22 feasible=1
[Full DLC (SOTA)] Val@Ep20 | score=1003.3061 AUC=0.7958 Acc=0.8307 F1=0.5801 PEHE=0.0209 dCATE=0.1624 Sens=0.0142 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 20/65 | loss_total=1.8303 recon=0.0124 hsic=0.0210 pred=0.3345
[Full DLC (SOTA)] Val@Ep24 | score=1003.2811 AUC=0.7936 Acc=0.8274 F1=0.5730 PEHE=0.0197 dCATE=0.1566 Sens=0.0174 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 25/65 | loss_total=1.7932 recon=0.0107 hsic=0.0209 pred=0.3284
[Full DLC (SOTA)] Val@Ep28 | score=1003.2481 AUC=0.7964 Acc=0.8229 F1=0.5644 PEHE=0.0198 dCATE=0.1452 Sens=0.0263 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 30/65 | loss_total=1.7611 recon=0.0105 hsic=0.0209 pred=0.3219
[Full DLC (SOTA)] Val@Ep32 | score=1003.2634 AUC=0.7956 Acc=0.8241 F1=0.5659 PEHE=0.0201 dCATE=0.1646 Sens=0.0299 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 35/65 | loss_total=1.7307 recon=0.0103 hsic=0.0207 pred=0.3165
[Full DLC (SOTA)] Val@Ep36 | score=1003.2324 AUC=0.7941 Acc=0.8129 F1=0.5579 PEHE=0.0239 dCATE=0.1780 Sens=0.0374 thr=0.21 feasible=1
