Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/65 | loss_total=2.2669 recon=0.0510 hsic=0.0212 pred=0.3445
[Full DLC (SOTA)] Val@Ep8 | score=0.0884 AUC=0.7961 Acc=0.8374 F1=0.5805 PEHE=0.0423 dCATE=0.0817 Sens=0.0082 thr=0.30 feasible=0
[Full DLC (SOTA)] Epoch 10/65 | loss_total=2.1779 recon=0.0202 hsic=0.0209 pred=0.3423
[Full DLC (SOTA)] Val@Ep12 | score=1003.4100 AUC=0.7959 Acc=0.8318 F1=0.5817 PEHE=0.0345 dCATE=0.1356 Sens=0.0126 thr=0.26 feasible=1
[Full DLC (SOTA)] Epoch 15/65 | loss_total=2.1373 recon=0.0143 hsic=0.0206 pred=0.3406
[Full DLC (SOTA)] Val@Ep16 | score=1003.4142 AUC=0.7982 Acc=0.8274 F1=0.5730 PEHE=0.0203 dCATE=0.1516 Sens=0.0128 thr=0.22 feasible=1
[Full DLC (SOTA)] Val@Ep20 | score=1003.4163 AUC=0.7936 Acc=0.8296 F1=0.5785 PEHE=0.0222 dCATE=0.1506 Sens=0.0160 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 20/65 | loss_total=2.0866 recon=0.0137 hsic=0.0209 pred=0.3324
[Full DLC (SOTA)] Val@Ep24 | score=1003.3845 AUC=0.7933 Acc=0.8196 F1=0.5691 PEHE=0.0231 dCATE=0.1559 Sens=0.0187 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 25/65 | loss_total=2.0414 recon=0.0125 hsic=0.0209 pred=0.3255
[Full DLC (SOTA)] Val@Ep28 | score=1003.3873 AUC=0.7962 Acc=0.8218 F1=0.5628 PEHE=0.0305 dCATE=0.1809 Sens=0.0277 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 30/65 | loss_total=2.0056 recon=0.0122 hsic=0.0210 pred=0.3195
[Full DLC (SOTA)] Val@Ep32 | score=1003.3918 AUC=0.7957 Acc=0.8263 F1=0.5642 PEHE=0.0229 dCATE=0.1683 Sens=0.0306 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 35/65 | loss_total=1.9747 recon=0.0118 hsic=0.0209 pred=0.3148
[Full DLC (SOTA)] Val@Ep36 | score=1003.3810 AUC=0.7939 Acc=0.8263 F1=0.5593 PEHE=0.0257 dCATE=0.1767 Sens=0.0369 thr=0.23 feasible=1
