Script started...

[Seed 42] Loading data...
Training w/o HGNN teacher for distillation (Seed 42)
[w/o HGNN (Teacher)] Epoch 5/45 | loss_total=1.5824 recon=0.2293 hsic=0.0162 pred=0.3371 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep8 | score=1003.4138 AUC=0.7828 Acc=0.8252 F1=0.5577 PEHE=0.0544 dCATE=0.1805 Sens=0.0357 thr=0.25 feasible=1
[w/o HGNN (Teacher)] Epoch 10/45 | loss_total=1.3762 recon=0.0670 hsic=0.0188 pred=0.3249 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep12 | score=1003.4584 AUC=0.7856 Acc=0.8486 F1=0.5696 PEHE=0.0612 dCATE=0.1681 Sens=0.0429 thr=0.42 feasible=1
[w/o HGNN (Teacher)] Epoch 15/45 | loss_total=1.2879 recon=0.0401 hsic=0.0212 pred=0.3096 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep16 | score=1003.3832 AUC=0.7683 Acc=0.8408 F1=0.5545 PEHE=0.0789 dCATE=0.1783 Sens=0.0541 thr=0.35 feasible=1
[w/o HGNN (Teacher)] Val@Ep20 | score=1003.2328 AUC=0.7599 Acc=0.8096 F1=0.5210 PEHE=0.0907 dCATE=0.1722 Sens=0.0768 thr=0.25 feasible=1
[w/o HGNN (Teacher)] Epoch 20/45 | loss_total=1.2209 recon=0.0316 hsic=0.0221 pred=0.2922 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep24 | score=1003.2621 AUC=0.7407 Acc=0.8352 F1=0.5163 PEHE=0.1001 dCATE=0.2049 Sens=0.0823 thr=0.37 feasible=1
[w/o HGNN (Teacher)] Epoch 25/45 | loss_total=1.0810 recon=0.0239 hsic=0.0226 pred=0.2593 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep28 | score=1003.1686 AUC=0.7368 Acc=0.8107 F1=0.5198 PEHE=0.1197 dCATE=0.1746 Sens=0.0912 thr=0.25 feasible=1
[w/o HGNN (Teacher)] Epoch 30/45 | loss_total=1.0036 recon=0.0221 hsic=0.0226 pred=0.2403 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep32 | score=1.4840 AUC=0.7187 Acc=0.7873 F1=0.5013 PEHE=0.1288 dCATE=0.2081 Sens=0.1096 thr=0.23 feasible=0
[w/o HGNN (Teacher)] Epoch 35/45 | loss_total=0.9288 recon=0.0203 hsic=0.0225 pred=0.2201 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep36 | score=2.2497 AUC=0.6849 Acc=0.7806 F1=0.4690 PEHE=0.1241 dCATE=0.2078 Sens=0.0905 thr=0.16 feasible=0
[w/o HGNN (Teacher)] Val@Ep40 | score=-0.9524 AUC=0.6886 Acc=0.7929 F1=0.4804 PEHE=0.1418 dCATE=0.1686 Sens=0.1162 thr=0.24 feasible=0
[w/o HGNN (Teacher)] Epoch 40/45 | loss_total=0.8884 recon=0.0188 hsic=0.0227 pred=0.2088 distill=0.0000
[w/o HGNN (Teacher)] Val@Ep44 | score=-1.4526 AUC=0.6648 Acc=0.8118 F1=0.4566 PEHE=0.1447 dCATE=0.2229 Sens=0.1139 thr=0.37 feasible=0
[w/o HGNN (Teacher)] Epoch 45/45 | loss_total=0.8083 recon=0.0168 hsic=0.0225 pred=0.1897 distill=0.0000
[w/o HGNN (Teacher)] Restored best checkpoint at epoch 12 (score=1003.4584, thr=0.42)
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/65 | loss_total=2.3614 recon=0.0555 hsic=0.0212 pred=0.3442 distill=0.3557
[Full DLC (SOTA)] Val@Ep8 | score=1.6526 AUC=0.7991 Acc=0.8374 F1=0.5780 PEHE=0.0402 dCATE=0.0900 Sens=0.0090 thr=0.31 feasible=0
[Full DLC (SOTA)] Epoch 10/65 | loss_total=2.2644 recon=0.0215 hsic=0.0210 pred=0.3418 distill=0.3542
[Full DLC (SOTA)] Val@Ep12 | score=1003.4724 AUC=0.7958 Acc=0.8263 F1=0.5784 PEHE=0.0287 dCATE=0.1378 Sens=0.0122 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 15/65 | loss_total=2.2274 recon=0.0152 hsic=0.0209 pred=0.3403 distill=0.3517
