[num_layers=1/seed=42] Epoch 1/20 | loss_total=0.9502 recon=0.5830 hsic=0.0168 pred=0.3655
[num_layers=1/seed=42] Epoch 2/20 | loss_total=0.4331 recon=0.0806 hsic=0.0200 pred=0.3505
[num_layers=1/seed=42] Epoch 3/20 | loss_total=0.3682 recon=0.0159 hsic=0.0202 pred=0.3503
[num_layers=1/seed=42] Epoch 4/20 | loss_total=0.3619 recon=0.0098 hsic=0.0204 pred=0.3500
[num_layers=1/seed=42] Epoch 5/20 | loss_total=0.3552 recon=0.0077 hsic=0.0203 pred=0.3454
[num_layers=1/seed=42] Epoch 6/20 | loss_total=0.3581 recon=0.0062 hsic=0.0203 pred=0.3499
[num_layers=1/seed=42] Epoch 7/20 | loss_total=0.3572 recon=0.0055 hsic=0.0200 pred=0.3497
[num_layers=1/seed=42] Epoch 8/20 | loss_total=0.3550 recon=0.0053 hsic=0.0200 pred=0.3477
[num_layers=1/seed=42] Epoch 9/20 | loss_total=0.3555 recon=0.0046 hsic=0.0199 pred=0.3489
[num_layers=1/seed=42] Epoch 10/20 | loss_total=0.3547 recon=0.0046 hsic=0.0197 pred=0.3481
[num_layers=1/seed=42] Epoch 11/20 | loss_total=0.3518 recon=0.0043 hsic=0.0197 pred=0.3456
[num_layers=1/seed=42] Epoch 12/20 | loss_total=0.3500 recon=0.0041 hsic=0.0197 pred=0.3440
[num_layers=1/seed=42] Epoch 13/20 | loss_total=0.3508 recon=0.0038 hsic=0.0196 pred=0.3450
[num_layers=1/seed=42] Epoch 14/20 | loss_total=0.3509 recon=0.0037 hsic=0.0193 pred=0.3453
[num_layers=1/seed=42] Epoch 15/20 | loss_total=0.3503 recon=0.0039 hsic=0.0194 pred=0.3444
[num_layers=1/seed=42] Epoch 16/20 | loss_total=0.3512 recon=0.0043 hsic=0.0192 pred=0.3450
[num_layers=1/seed=42] Epoch 17/20 | loss_total=0.3527 recon=0.0042 hsic=0.0193 pred=0.3466
[num_layers=1/seed=42] Epoch 18/20 | loss_total=0.3498 recon=0.0038 hsic=0.0192 pred=0.3440
[num_layers=1/seed=42] Epoch 19/20 | loss_total=0.3476 recon=0.0038 hsic=0.0190 pred=0.3419
[num_layers=1/seed=42] Epoch 20/20 | loss_total=0.3493 recon=0.0036 hsic=0.0190 pred=0.3438
[num_layers=1/seed=43] Epoch 1/20 | loss_total=0.9502 recon=0.5830 hsic=0.0168 pred=0.3655
[num_layers=1/seed=43] Epoch 2/20 | loss_total=0.4331 recon=0.0806 hsic=0.0200 pred=0.3505
[num_layers=1/seed=43] Epoch 3/20 | loss_total=0.3682 recon=0.0159 hsic=0.0202 pred=0.3503
[num_layers=1/seed=43] Epoch 4/20 | loss_total=0.3619 recon=0.0098 hsic=0.0204 pred=0.3500
[num_layers=1/seed=43] Epoch 5/20 | loss_total=0.3552 recon=0.0077 hsic=0.0203 pred=0.3454
[num_layers=1/seed=43] Epoch 6/20 | loss_total=0.3581 recon=0.0062 hsic=0.0203 pred=0.3499
[num_layers=1/seed=43] Epoch 7/20 | loss_total=0.3572 recon=0.0055 hsic=0.0200 pred=0.3497
[num_layers=1/seed=43] Epoch 8/20 | loss_total=0.3550 recon=0.0053 hsic=0.0200 pred=0.3477
[num_layers=1/seed=43] Epoch 9/20 | loss_total=0.3555 recon=0.0046 hsic=0.0199 pred=0.3489
[num_layers=1/seed=43] Epoch 10/20 | loss_total=0.3547 recon=0.0046 hsic=0.0197 pred=0.3481
[num_layers=1/seed=43] Epoch 11/20 | loss_total=0.3518 recon=0.0043 hsic=0.0197 pred=0.3456
[num_layers=1/seed=43] Epoch 12/20 | loss_total=0.3500 recon=0.0041 hsic=0.0197 pred=0.3440
[num_layers=1/seed=43] Epoch 13/20 | loss_total=0.3508 recon=0.0038 hsic=0.0196 pred=0.3450
[num_layers=1/seed=43] Epoch 14/20 | loss_total=0.3509 recon=0.0037 hsic=0.0193 pred=0.3453
[num_layers=1/seed=43] Epoch 15/20 | loss_total=0.3503 recon=0.0039 hsic=0.0194 pred=0.3444
[num_layers=1/seed=43] Epoch 16/20 | loss_total=0.3512 recon=0.0043 hsic=0.0192 pred=0.3450
[num_layers=1/seed=43] Epoch 17/20 | loss_total=0.3527 recon=0.0042 hsic=0.0193 pred=0.3466
[num_layers=1/seed=43] Epoch 18/20 | loss_total=0.3498 recon=0.0038 hsic=0.0192 pred=0.3440
[num_layers=1/seed=43] Epoch 19/20 | loss_total=0.3476 recon=0.0038 hsic=0.0190 pred=0.3419
[num_layers=1/seed=43] Epoch 20/20 | loss_total=0.3493 recon=0.0036 hsic=0.0190 pred=0.3438
[num_layers=1/seed=44] Epoch 1/20 | loss_total=0.9502 recon=0.5830 hsic=0.0168 pred=0.3655
[num_layers=1/seed=44] Epoch 2/20 | loss_total=0.4331 recon=0.0806 hsic=0.0200 pred=0.3505
[num_layers=1/seed=44] Epoch 3/20 | loss_total=0.3682 recon=0.0159 hsic=0.0202 pred=0.3503
[num_layers=1/seed=44] Epoch 4/20 | loss_total=0.3619 recon=0.0098 hsic=0.0204 pred=0.3500
[num_layers=1/seed=44] Epoch 5/20 | loss_total=0.3552 recon=0.0077 hsic=0.0203 pred=0.3454
[num_layers=1/seed=44] Epoch 6/20 | loss_total=0.3581 recon=0.0062 hsic=0.0203 pred=0.3499
[num_layers=1/seed=44] Epoch 7/20 | loss_total=0.3572 recon=0.0055 hsic=0.0200 pred=0.3497
[num_layers=1/seed=44] Epoch 8/20 | loss_total=0.3550 recon=0.0053 hsic=0.0200 pred=0.3477
[num_layers=1/seed=44] Epoch 9/20 | loss_total=0.3555 recon=0.0046 hsic=0.0199 pred=0.3489
[num_layers=1/seed=44] Epoch 10/20 | loss_total=0.3547 recon=0.0046 hsic=0.0197 pred=0.3481
[num_layers=1/seed=44] Epoch 11/20 | loss_total=0.3518 recon=0.0043 hsic=0.0197 pred=0.3456
[num_layers=1/seed=44] Epoch 12/20 | loss_total=0.3500 recon=0.0041 hsic=0.0197 pred=0.3440
[num_layers=1/seed=44] Epoch 13/20 | loss_total=0.3508 recon=0.0038 hsic=0.0196 pred=0.3450
[num_layers=1/seed=44] Epoch 14/20 | loss_total=0.3509 recon=0.0037 hsic=0.0193 pred=0.3453
[num_layers=1/seed=44] Epoch 15/20 | loss_total=0.3503 recon=0.0039 hsic=0.0194 pred=0.3444
[num_layers=1/seed=44] Epoch 16/20 | loss_total=0.3512 recon=0.0043 hsic=0.0192 pred=0.3450
[num_layers=1/seed=44] Epoch 17/20 | loss_total=0.3527 recon=0.0042 hsic=0.0193 pred=0.3466
[num_layers=1/seed=44] Epoch 18/20 | loss_total=0.3498 recon=0.0038 hsic=0.0192 pred=0.3440
[num_layers=1/seed=44] Epoch 19/20 | loss_total=0.3476 recon=0.0038 hsic=0.0190 pred=0.3419
[num_layers=1/seed=44] Epoch 20/20 | loss_total=0.3493 recon=0.0036 hsic=0.0190 pred=0.3438
[num_layers=2/seed=42] Epoch 1/20 | loss_total=0.9678 recon=0.5936 hsic=0.0168 pred=0.3725
[num_layers=2/seed=42] Epoch 2/20 | loss_total=0.4335 recon=0.0780 hsic=0.0197 pred=0.3535
[num_layers=2/seed=42] Epoch 3/20 | loss_total=0.3688 recon=0.0158 hsic=0.0202 pred=0.3509
[num_layers=2/seed=42] Epoch 4/20 | loss_total=0.3613 recon=0.0104 hsic=0.0202 pred=0.3489
[num_layers=2/seed=42] Epoch 5/20 | loss_total=0.3578 recon=0.0075 hsic=0.0201 pred=0.3484
[num_layers=2/seed=42] Epoch 6/20 | loss_total=0.3578 recon=0.0069 hsic=0.0199 pred=0.3489
[num_layers=2/seed=42] Epoch 7/20 | loss_total=0.3560 recon=0.0060 hsic=0.0198 pred=0.3480
[num_layers=2/seed=42] Epoch 8/20 | loss_total=0.3569 recon=0.0055 hsic=0.0197 pred=0.3494
[num_layers=2/seed=42] Epoch 9/20 | loss_total=0.3531 recon=0.0051 hsic=0.0195 pred=0.3461
[num_layers=2/seed=42] Epoch 10/20 | loss_total=0.3532 recon=0.0049 hsic=0.0193 pred=0.3464
[num_layers=2/seed=42] Epoch 11/20 | loss_total=0.3536 recon=0.0046 hsic=0.0194 pred=0.3470
[num_layers=2/seed=42] Epoch 12/20 | loss_total=0.3542 recon=0.0049 hsic=0.0192 pred=0.3474
[num_layers=2/seed=42] Epoch 13/20 | loss_total=0.3518 recon=0.0043 hsic=0.0190 pred=0.3456
[num_layers=2/seed=42] Epoch 14/20 | loss_total=0.3513 recon=0.0045 hsic=0.0189 pred=0.3449
[num_layers=2/seed=42] Epoch 15/20 | loss_total=0.3499 recon=0.0041 hsic=0.0189 pred=0.3438
