Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/120 | loss_total=1.6434 recon=0.0557 hsic=0.0208 pred=0.3475
[Full DLC (SOTA)] Epoch 10/120 | loss_total=1.5860 recon=0.0184 hsic=0.0202 pred=0.3446
[Full DLC (SOTA)] Epoch 15/120 | loss_total=1.5662 recon=0.0129 hsic=0.0194 pred=0.3428
[Full DLC (SOTA)] Val@Ep20 | score=1002.7280 AUC=0.7954 Acc=0.8330 F1=0.5763 PEHE=0.0468 dCATE=0.1438 Sens=0.0172 thr=0.26 feasible=1
[Full DLC (SOTA)] Epoch 20/120 | loss_total=1.5268 recon=0.0121 hsic=0.0195 pred=0.3342
[Full DLC (SOTA)] Val@Ep25 | score=1002.7186 AUC=0.7942 Acc=0.8263 F1=0.5714 PEHE=0.0493 dCATE=0.1580 Sens=0.0209 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 25/120 | loss_total=1.8039 recon=0.0104 hsic=0.0195 pred=0.3288
[Full DLC (SOTA)] Val@Ep30 | score=1002.7451 AUC=0.7964 Acc=0.8229 F1=0.5760 PEHE=0.0569 dCATE=0.2012 Sens=0.0325 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 30/120 | loss_total=2.0698 recon=0.0103 hsic=0.0199 pred=0.3227
[Full DLC (SOTA)] Val@Ep35 | score=1002.7125 AUC=0.7955 Acc=0.8163 F1=0.5646 PEHE=0.0321 dCATE=0.1692 Sens=0.0366 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 35/120 | loss_total=2.3291 recon=0.0103 hsic=0.0201 pred=0.3180
[Full DLC (SOTA)] Val@Ep40 | score=1002.6642 AUC=0.7926 Acc=0.8096 F1=0.5627 PEHE=0.0245 dCATE=0.1323 Sens=0.0425 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 40/120 | loss_total=2.5743 recon=0.0100 hsic=0.0201 pred=0.3124
[Full DLC (SOTA)] Val@Ep45 | score=1002.6913 AUC=0.7946 Acc=0.8107 F1=0.5596 PEHE=0.0238 dCATE=0.1612 Sens=0.0438 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 45/120 | loss_total=2.8119 recon=0.0086 hsic=0.0203 pred=0.3070
[Full DLC (SOTA)] Val@Ep50 | score=2.0253 AUC=0.7914 Acc=0.8229 F1=0.5444 PEHE=0.0283 dCATE=0.1276 Sens=0.0413 thr=0.16 feasible=0
[Full DLC (SOTA)] Epoch 50/120 | loss_total=3.0539 recon=0.0085 hsic=0.0202 pred=0.3030
[Full DLC (SOTA)] Val@Ep55 | score=1002.6581 AUC=0.7886 Acc=0.8296 F1=0.5433 PEHE=0.0303 dCATE=0.1513 Sens=0.0507 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 55/120 | loss_total=3.0239 recon=0.0084 hsic=0.0201 pred=0.3001
[Full DLC (SOTA)] Val@Ep60 | score=1002.6107 AUC=0.7901 Acc=0.8073 F1=0.5362 PEHE=0.0241 dCATE=0.1338 Sens=0.0522 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 60/120 | loss_total=3.0223 recon=0.0084 hsic=0.0202 pred=0.2997
[Full DLC (SOTA)] Val@Ep65 | score=1002.6360 AUC=0.7904 Acc=0.8051 F1=0.5333 PEHE=0.0220 dCATE=0.1706 Sens=0.0588 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 65/120 | loss_total=2.9791 recon=0.0079 hsic=0.0200 pred=0.2958
[Full DLC (SOTA)] Val@Ep70 | score=1002.6402 AUC=0.7904 Acc=0.8062 F1=0.5297 PEHE=0.0240 dCATE=0.1816 Sens=0.0591 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 70/120 | loss_total=2.9457 recon=0.0077 hsic=0.0200 pred=0.2922
[Full DLC (SOTA)] Val@Ep75 | score=1002.6531 AUC=0.7902 Acc=0.8174 F1=0.5393 PEHE=0.0233 dCATE=0.1629 Sens=0.0563 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 75/120 | loss_total=2.9581 recon=0.0078 hsic=0.0202 pred=0.2934
[Full DLC (SOTA)] Val@Ep80 | score=1002.5978 AUC=0.7872 Acc=0.7895 F1=0.5263 PEHE=0.0213 dCATE=0.1693 Sens=0.0636 thr=0.14 feasible=1
[Full DLC (SOTA)] Epoch 80/120 | loss_total=2.9111 recon=0.0077 hsic=0.0201 pred=0.2888
[Full DLC (SOTA)] Val@Ep85 | score=1002.5823 AUC=0.7859 Acc=0.7829 F1=0.5209 PEHE=0.0231 dCATE=0.1697 Sens=0.0602 thr=0.13 feasible=1
[Full DLC (SOTA)] Epoch 85/120 | loss_total=2.8941 recon=0.0074 hsic=0.0201 pred=0.2871
[Full DLC (SOTA)] Val@Ep90 | score=1002.5980 AUC=0.7865 Acc=0.7929 F1=0.5255 PEHE=0.0228 dCATE=0.1647 Sens=0.0596 thr=0.13 feasible=1
[Full DLC (SOTA)] Epoch 90/120 | loss_total=2.8899 recon=0.0074 hsic=0.0201 pred=0.2867
[Full DLC (SOTA)] Val@Ep95 | score=1002.5805 AUC=0.7865 Acc=0.7817 F1=0.5196 PEHE=0.0221 dCATE=0.1718 Sens=0.0626 thr=0.13 feasible=1
[Full DLC (SOTA)] Epoch 95/120 | loss_total=2.8763 recon=0.0074 hsic=0.0202 pred=0.2852
[Full DLC (SOTA)] Val@Ep100 | score=1002.6158 AUC=0.7862 Acc=0.7996 F1=0.5238 PEHE=0.0240 dCATE=0.1854 Sens=0.0657 thr=0.14 feasible=1
[Full DLC (SOTA)] Epoch 100/120 | loss_total=2.8913 recon=0.0073 hsic=0.0200 pred=0.2867
