Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.3217 recon=0.0747 hsic=0.0207 pred=0.3475 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.2247 recon=0.0272 hsic=0.0204 pred=0.3436 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.1978 recon=0.0196 hsic=0.0200 pred=0.3424 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep20 | score=1002.2229 AUC=0.7954 Acc=0.8263 F1=0.5761 PEHE=0.0474 dCATE=0.1476 Sens=0.0011 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.1153 recon=0.0174 hsic=0.0202 pred=0.3333 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep25 | score=1002.2350 AUC=0.7943 Acc=0.8318 F1=0.5770 PEHE=0.0485 dCATE=0.1568 Sens=0.0011 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.0960 recon=0.0148 hsic=0.0201 pred=0.3272 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep30 | score=1002.2488 AUC=0.7977 Acc=0.8218 F1=0.5722 PEHE=0.0600 dCATE=0.1987 Sens=0.0014 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.0940 recon=0.0141 hsic=0.0206 pred=0.3221 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep35 | score=1002.2469 AUC=0.7962 Acc=0.8207 F1=0.5613 PEHE=0.0401 dCATE=0.1822 Sens=0.0013 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.1027 recon=0.0135 hsic=0.0207 pred=0.3187 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep40 | score=1002.2097 AUC=0.7906 Acc=0.8174 F1=0.5543 PEHE=0.0268 dCATE=0.1417 Sens=0.0013 thr=0.18 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.0971 recon=0.0132 hsic=0.0207 pred=0.3139 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep45 | score=1002.2297 AUC=0.7939 Acc=0.8151 F1=0.5538 PEHE=0.0258 dCATE=0.1593 Sens=0.0013 thr=0.17 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.1008 recon=0.0115 hsic=0.0208 pred=0.3105 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep50 | score=1002.2153 AUC=0.7934 Acc=0.8196 F1=0.5500 PEHE=0.0270 dCATE=0.1481 Sens=0.0012 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.1112 recon=0.0114 hsic=0.0209 pred=0.3075 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep55 | score=1002.2080 AUC=0.7888 Acc=0.8140 F1=0.5523 PEHE=0.0299 dCATE=0.1515 Sens=0.0012 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.0861 recon=0.0113 hsic=0.0209 pred=0.3048 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep60 | score=1002.2062 AUC=0.7912 Acc=0.8073 F1=0.5362 PEHE=0.0212 dCATE=0.1592 Sens=0.0014 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.0923 recon=0.0111 hsic=0.0209 pred=0.3053 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep65 | score=1002.2404 AUC=0.7911 Acc=0.8363 F1=0.5421 PEHE=0.0235 dCATE=0.1667 Sens=0.0014 thr=0.27 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.0498 recon=0.0104 hsic=0.0207 pred=0.3015 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep70 | score=1002.2548 AUC=0.7900 Acc=0.8374 F1=0.5409 PEHE=0.0253 dCATE=0.1855 Sens=0.0014 thr=0.30 feasible=1
