Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.8580 recon=0.0505 hsic=0.0215 pred=0.3475 distill=0.0000 aux=0.3603
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.7513 recon=0.0212 hsic=0.0200 pred=0.3430 distill=0.0000 aux=0.3551
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.6959 recon=0.0181 hsic=0.0191 pred=0.3395 distill=0.0000 aux=0.3485
[Full DLC (SOTA)] Val@Ep20 | score=1002.1729 AUC=0.7973 Acc=0.8307 F1=0.5632 PEHE=0.0667 dCATE=0.1373 Sens=0.0018 thr=0.27 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.6084 recon=0.0169 hsic=0.0191 pred=0.3314 distill=0.0000 aux=0.3437
[Full DLC (SOTA)] Val@Ep25 | score=1002.1974 AUC=0.7970 Acc=0.8196 F1=0.5622 PEHE=0.0547 dCATE=0.1543 Sens=0.0018 thr=0.30 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.5319 recon=0.0148 hsic=0.0190 pred=0.3227 distill=0.0000 aux=0.3357
[Full DLC (SOTA)] Val@Ep30 | score=1002.1902 AUC=0.7866 Acc=0.8318 F1=0.5465 PEHE=0.0542 dCATE=0.1654 Sens=0.0015 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.5275 recon=0.0150 hsic=0.0193 pred=0.3199 distill=0.0000 aux=0.3308
[Full DLC (SOTA)] Val@Ep35 | score=1002.2068 AUC=0.7907 Acc=0.8229 F1=0.5470 PEHE=0.0425 dCATE=0.1667 Sens=0.0012 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.5217 recon=0.0146 hsic=0.0195 pred=0.3169 distill=0.0000 aux=0.3282
[Full DLC (SOTA)] Val@Ep40 | score=1002.1979 AUC=0.7846 Acc=0.8274 F1=0.5481 PEHE=0.0368 dCATE=0.1508 Sens=0.0017 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.4832 recon=0.0136 hsic=0.0196 pred=0.3108 distill=0.0000 aux=0.3220
[Full DLC (SOTA)] Val@Ep45 | score=1002.1873 AUC=0.7828 Acc=0.8163 F1=0.5326 PEHE=0.0316 dCATE=0.1617 Sens=0.0015 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.4324 recon=0.0118 hsic=0.0196 pred=0.3041 distill=0.0000 aux=0.3175
[Full DLC (SOTA)] Val@Ep50 | score=1002.1546 AUC=0.7731 Acc=0.8196 F1=0.5263 PEHE=0.0318 dCATE=0.1436 Sens=0.0014 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.4228 recon=0.0113 hsic=0.0197 pred=0.3006 distill=0.0000 aux=0.3142
[Full DLC (SOTA)] Val@Ep55 | score=1002.1451 AUC=0.7754 Acc=0.8229 F1=0.5225 PEHE=0.0286 dCATE=0.1290 Sens=0.0015 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.3740 recon=0.0110 hsic=0.0197 pred=0.2966 distill=0.0000 aux=0.3093
[Full DLC (SOTA)] Val@Ep60 | score=1002.1349 AUC=0.7679 Acc=0.8185 F1=0.5134 PEHE=0.0292 dCATE=0.1418 Sens=0.0015 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.3503 recon=0.0108 hsic=0.0196 pred=0.2940 distill=0.0000 aux=0.3109
[Full DLC (SOTA)] Val@Ep65 | score=1002.1489 AUC=0.7701 Acc=0.8140 F1=0.5131 PEHE=0.0268 dCATE=0.1538 Sens=0.0015 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.2979 recon=0.0101 hsic=0.0198 pred=0.2897 distill=0.0000 aux=0.3063
[Full DLC (SOTA)] Val@Ep70 | score=1002.1219 AUC=0.7659 Acc=0.8040 F1=0.5111 PEHE=0.0273 dCATE=0.1423 Sens=0.0015 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 70/100 | loss_total=3.2981 recon=0.0100 hsic=0.0195 pred=0.2894 distill=0.0000 aux=0.3060
[Full DLC (SOTA)] Val@Ep75 | score=1002.1483 AUC=0.7634 Acc=0.8051 F1=0.5179 PEHE=0.0312 dCATE=0.1681 Sens=0.0016 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 75/100 | loss_total=3.2620 recon=0.0099 hsic=0.0196 pred=0.2862 distill=0.0000 aux=0.3052
[Full DLC (SOTA)] Val@Ep80 | score=1002.1273 AUC=0.7590 Acc=0.8096 F1=0.5072 PEHE=0.0278 dCATE=0.1556 Sens=0.0016 thr=0.18 feasible=1
[Full DLC (SOTA)] Epoch 80/100 | loss_total=3.2546 recon=0.0098 hsic=0.0195 pred=0.2850 distill=0.0000 aux=0.3033
[Full DLC (SOTA)] Val@Ep85 | score=1002.1263 AUC=0.7587 Acc=0.8140 F1=0.5045 PEHE=0.0261 dCATE=0.1522 Sens=0.0016 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 85/100 | loss_total=3.2414 recon=0.0095 hsic=0.0194 pred=0.2846 distill=0.0000 aux=0.3022
[Full DLC (SOTA)] Val@Ep90 | score=1002.1296 AUC=0.7616 Acc=0.8018 F1=0.5083 PEHE=0.0270 dCATE=0.1590 Sens=0.0016 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 90/100 | loss_total=3.2298 recon=0.0094 hsic=0.0196 pred=0.2833 distill=0.0000 aux=0.3018
[Full DLC (SOTA)] Val@Ep95 | score=1002.1338 AUC=0.7577 Acc=0.8018 F1=0.5110 PEHE=0.0296 dCATE=0.1678 Sens=0.0017 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 95/100 | loss_total=3.2253 recon=0.0093 hsic=0.0196 pred=0.2829 distill=0.0000 aux=0.3025
[Full DLC (SOTA)] Val@Ep100 | score=1002.1281 AUC=0.7576 Acc=0.8118 F1=0.5073 PEHE=0.0262 dCATE=0.1535 Sens=0.0016 thr=0.18 feasible=1
[Full DLC (SOTA)] Epoch 100/100 | loss_total=3.1778 recon=0.0093 hsic=0.0196 pred=0.2785 distill=0.0000 aux=0.2976
[Full DLC (SOTA)] Restored best checkpoint at epoch 35 (score=1002.2068, thr=0.25, alpha=0.01)
[w/o HGNN] Epoch 5/80 | loss_total=1.6109 recon=0.2515 hsic=0.0170 pred=0.3378 distill=0.0000 aux=0.0000
[w/o HGNN] Epoch 10/80 | loss_total=1.3937 recon=0.0734 hsic=0.0207 pred=0.3281 distill=0.0000 aux=0.0000
[w/o HGNN] Epoch 15/80 | loss_total=1.3109 recon=0.0398 hsic=0.0226 pred=0.3155 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep20 | score=1002.0192 AUC=0.7672 Acc=0.7829 F1=0.5255 PEHE=0.0700 dCATE=0.2045 Sens=0.0869 thr=0.22 feasible=1
[w/o HGNN] Epoch 20/80 | loss_total=1.2487 recon=0.0287 hsic=0.0233 pred=0.3025 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep25 | score=1001.9875 AUC=0.7491 Acc=0.8296 F1=0.5143 PEHE=0.0717 dCATE=0.1825 Sens=0.0979 thr=0.31 feasible=1
[w/o HGNN] Epoch 25/80 | loss_total=1.1691 recon=0.0230 hsic=0.0233 pred=0.2822 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep30 | score=1001.9207 AUC=0.7343 Acc=0.8207 F1=0.4889 PEHE=0.0768 dCATE=0.2039 Sens=0.1213 thr=0.36 feasible=1
[w/o HGNN] Epoch 30/80 | loss_total=1.1043 recon=0.0207 hsic=0.0234 pred=0.2669 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep35 | score=1001.9052 AUC=0.7417 Acc=0.8263 F1=0.5063 PEHE=0.0812 dCATE=0.1688 Sens=0.1268 thr=0.43 feasible=1
[w/o HGNN] Epoch 35/80 | loss_total=1.0509 recon=0.0185 hsic=0.0235 pred=0.2545 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep40 | score=1001.8020 AUC=0.6980 Acc=0.7840 F1=0.4840 PEHE=0.0789 dCATE=0.1839 Sens=0.1414 thr=0.22 feasible=1
[w/o HGNN] Epoch 40/80 | loss_total=0.9736 recon=0.0167 hsic=0.0236 pred=0.2352 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep45 | score=1001.8445 AUC=0.6969 Acc=0.8241 F1=0.4870 PEHE=0.0785 dCATE=0.1887 Sens=0.1391 thr=0.34 feasible=1
[w/o HGNN] Epoch 45/80 | loss_total=0.9049 recon=0.0149 hsic=0.0235 pred=0.2184 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep50 | score=1001.8201 AUC=0.6906 Acc=0.8285 F1=0.4967 PEHE=0.0839 dCATE=0.1932 Sens=0.1639 thr=0.46 feasible=1
[w/o HGNN] Epoch 50/80 | loss_total=0.8754 recon=0.0141 hsic=0.0235 pred=0.2120 distill=0.0000 aux=0.0000
