Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.7607 recon=0.0670 hsic=0.0210 pred=0.3490 distill=0.0000 aux=0.3591
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.6461 recon=0.0230 hsic=0.0200 pred=0.3437 distill=0.0000 aux=0.3554
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.5970 recon=0.0186 hsic=0.0193 pred=0.3397 distill=0.0000 aux=0.3486
[Full DLC (SOTA)] Val@Ep20 | score=1002.1887 AUC=0.7994 Acc=0.8307 F1=0.5730 PEHE=0.0618 dCATE=0.1316 Sens=0.0016 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.5183 recon=0.0164 hsic=0.0194 pred=0.3321 distill=0.0000 aux=0.3411
[Full DLC (SOTA)] Val@Ep25 | score=1002.2145 AUC=0.7975 Acc=0.8196 F1=0.5691 PEHE=0.0594 dCATE=0.1692 Sens=0.0015 thr=0.28 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.4682 recon=0.0142 hsic=0.0196 pred=0.3244 distill=0.0000 aux=0.3338
[Full DLC (SOTA)] Val@Ep30 | score=1002.2361 AUC=0.7927 Acc=0.8296 F1=0.5714 PEHE=0.0529 dCATE=0.1750 Sens=0.0014 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.4860 recon=0.0135 hsic=0.0202 pred=0.3221 distill=0.0000 aux=0.3308
[Full DLC (SOTA)] Val@Ep35 | score=1002.2372 AUC=0.7939 Acc=0.8174 F1=0.5615 PEHE=0.0446 dCATE=0.1843 Sens=0.0015 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.5070 recon=0.0128 hsic=0.0209 pred=0.3201 distill=0.0000 aux=0.3277
[Full DLC (SOTA)] Val@Ep40 | score=1002.2463 AUC=0.7949 Acc=0.8229 F1=0.5668 PEHE=0.0275 dCATE=0.1560 Sens=0.0015 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.5062 recon=0.0123 hsic=0.0210 pred=0.3158 distill=0.0000 aux=0.3229
[Full DLC (SOTA)] Val@Ep45 | score=1002.2511 AUC=0.7943 Acc=0.8174 F1=0.5591 PEHE=0.0323 dCATE=0.1822 Sens=0.0015 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.4812 recon=0.0106 hsic=0.0211 pred=0.3102 distill=0.0000 aux=0.3189
[Full DLC (SOTA)] Val@Ep50 | score=1002.2434 AUC=0.7887 Acc=0.8285 F1=0.5549 PEHE=0.0311 dCATE=0.1744 Sens=0.0014 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.4890 recon=0.0103 hsic=0.0212 pred=0.3071 distill=0.0000 aux=0.3161
[Full DLC (SOTA)] Val@Ep55 | score=1002.2318 AUC=0.7909 Acc=0.8218 F1=0.5531 PEHE=0.0254 dCATE=0.1597 Sens=0.0016 thr=0.19 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.4408 recon=0.0099 hsic=0.0211 pred=0.3033 distill=0.0000 aux=0.3106
[Full DLC (SOTA)] Val@Ep60 | score=1002.2114 AUC=0.7880 Acc=0.8107 F1=0.5405 PEHE=0.0273 dCATE=0.1689 Sens=0.0013 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.4231 recon=0.0100 hsic=0.0211 pred=0.3016 distill=0.0000 aux=0.3109
[Full DLC (SOTA)] Val@Ep65 | score=1002.2340 AUC=0.7886 Acc=0.8207 F1=0.5490 PEHE=0.0248 dCATE=0.1690 Sens=0.0015 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.3837 recon=0.0092 hsic=0.0212 pred=0.2980 distill=0.0000 aux=0.3073
[Full DLC (SOTA)] Val@Ep70 | score=1002.2291 AUC=0.7885 Acc=0.8151 F1=0.5514 PEHE=0.0262 dCATE=0.1679 Sens=0.0014 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 70/100 | loss_total=3.3927 recon=0.0091 hsic=0.0209 pred=0.2989 distill=0.0000 aux=0.3079
