Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.2002 recon=0.0497 hsic=0.0210 pred=0.3401 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.1220 recon=0.0148 hsic=0.0220 pred=0.3346 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.0688 recon=0.0092 hsic=0.0223 pred=0.3290 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep20 | score=1002.2050 AUC=0.7888 Acc=0.8341 F1=0.5706 PEHE=0.0694 dCATE=0.1686 Sens=0.0003 thr=0.32 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.0450 recon=0.0091 hsic=0.0221 pred=0.3258 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep25 | score=1002.1968 AUC=0.7899 Acc=0.8252 F1=0.5651 PEHE=0.0759 dCATE=0.1828 Sens=0.0003 thr=0.27 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.0047 recon=0.0057 hsic=0.0224 pred=0.3188 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep30 | score=1002.1783 AUC=0.7899 Acc=0.8151 F1=0.5654 PEHE=0.0749 dCATE=0.1703 Sens=0.0003 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.0215 recon=0.0056 hsic=0.0222 pred=0.3148 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep35 | score=1002.1997 AUC=0.7902 Acc=0.8229 F1=0.5668 PEHE=0.0742 dCATE=0.1827 Sens=0.0003 thr=0.27 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.0526 recon=0.0054 hsic=0.0220 pred=0.3129 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep40 | score=1002.1684 AUC=0.7898 Acc=0.8107 F1=0.5596 PEHE=0.0703 dCATE=0.1644 Sens=0.0003 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.0658 recon=0.0055 hsic=0.0219 pred=0.3094 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep45 | score=1002.1785 AUC=0.7868 Acc=0.8151 F1=0.5608 PEHE=0.0694 dCATE=0.1712 Sens=0.0004 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.0799 recon=0.0048 hsic=0.0215 pred=0.3062 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep50 | score=1002.1804 AUC=0.7891 Acc=0.8107 F1=0.5596 PEHE=0.0650 dCATE=0.1692 Sens=0.0004 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.1347 recon=0.0048 hsic=0.0214 pred=0.3073 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep55 | score=1002.1876 AUC=0.7900 Acc=0.8140 F1=0.5617 PEHE=0.0655 dCATE=0.1711 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.1222 recon=0.0050 hsic=0.0211 pred=0.3062 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep60 | score=1002.1934 AUC=0.7881 Acc=0.8151 F1=0.5632 PEHE=0.0651 dCATE=0.1757 Sens=0.0005 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.0888 recon=0.0050 hsic=0.0209 pred=0.3027 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep65 | score=1002.1931 AUC=0.7864 Acc=0.8151 F1=0.5632 PEHE=0.0669 dCATE=0.1797 Sens=0.0005 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.0868 recon=0.0045 hsic=0.0209 pred=0.3025 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep70 | score=1002.1932 AUC=0.7855 Acc=0.8140 F1=0.5594 PEHE=0.0674 dCATE=0.1870 Sens=0.0005 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 70/100 | loss_total=3.0591 recon=0.0046 hsic=0.0207 pred=0.2999 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep75 | score=1002.1806 AUC=0.7859 Acc=0.8096 F1=0.5558 PEHE=0.0664 dCATE=0.1802 Sens=0.0006 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 75/100 | loss_total=3.0572 recon=0.0046 hsic=0.0204 pred=0.2995 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep80 | score=1002.1827 AUC=0.7848 Acc=0.8129 F1=0.5579 PEHE=0.0672 dCATE=0.1797 Sens=0.0006 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 80/100 | loss_total=3.0460 recon=0.0046 hsic=0.0204 pred=0.2985 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep85 | score=1002.1818 AUC=0.7856 Acc=0.8151 F1=0.5561 PEHE=0.0668 dCATE=0.1777 Sens=0.0006 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 85/100 | loss_total=3.0430 recon=0.0044 hsic=0.0203 pred=0.2981 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep90 | score=1002.1801 AUC=0.7852 Acc=0.8140 F1=0.5523 PEHE=0.0675 dCATE=0.1830 Sens=0.0007 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 90/100 | loss_total=3.0475 recon=0.0044 hsic=0.0203 pred=0.2987 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep95 | score=1002.1810 AUC=0.7849 Acc=0.8163 F1=0.5528 PEHE=0.0680 dCATE=0.1826 Sens=0.0007 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 95/100 | loss_total=3.0350 recon=0.0045 hsic=0.0203 pred=0.2974 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep100 | score=1002.1845 AUC=0.7861 Acc=0.8163 F1=0.5553 PEHE=0.0681 dCATE=0.1821 Sens=0.0007 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 100/100 | loss_total=3.0276 recon=0.0045 hsic=0.0201 pred=0.2965 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Restored best checkpoint at epoch 20 (score=1002.2050, thr=0.32, alpha=0.35)
[w/o HGNN] Epoch 5/80 | loss_total=0.1286 recon=0.1013 hsic=0.0204 pred=0.5262 distill=0.0000 aux=0.0000
[w/o HGNN] Epoch 10/80 | loss_total=0.0415 recon=0.0216 hsic=0.0217 pred=0.3709 distill=0.0000 aux=0.0000
[w/o HGNN] Epoch 15/80 | loss_total=0.0319 recon=0.0115 hsic=0.0218 pred=0.3625 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep20 | score=1002.1936 AUC=0.7916 Acc=0.8441 F1=0.5732 PEHE=0.0124 dCATE=0.1846 Sens=0.1059 thr=0.38 feasible=1
[w/o HGNN] Epoch 20/80 | loss_total=0.0260 recon=0.0076 hsic=0.0217 pred=0.3567 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep25 | score=1002.1739 AUC=0.7911 Acc=0.8352 F1=0.5771 PEHE=0.0254 dCATE=0.1707 Sens=0.0921 thr=0.31 feasible=1
[w/o HGNN] Epoch 25/80 | loss_total=0.5862 recon=0.0061 hsic=0.0212 pred=0.3387 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep30 | score=1002.1859 AUC=0.7933 Acc=0.8296 F1=0.5690 PEHE=0.0303 dCATE=0.1832 Sens=0.0763 thr=0.30 feasible=1
[w/o HGNN] Epoch 30/80 | loss_total=1.1178 recon=0.0068 hsic=0.0213 pred=0.3288 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep35 | score=1002.1400 AUC=0.7884 Acc=0.8151 F1=0.5632 PEHE=0.0333 dCATE=0.1713 Sens=0.0814 thr=0.19 feasible=1
[w/o HGNN] Epoch 35/80 | loss_total=1.6118 recon=0.0076 hsic=0.0209 pred=0.3174 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep40 | score=1002.1182 AUC=0.7831 Acc=0.8051 F1=0.5524 PEHE=0.0383 dCATE=0.1811 Sens=0.0797 thr=0.23 feasible=1
[w/o HGNN] Epoch 40/80 | loss_total=2.0627 recon=0.0080 hsic=0.0205 pred=0.3044 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep45 | score=1002.0549 AUC=0.7598 Acc=0.8463 F1=0.5175 PEHE=0.0451 dCATE=0.1837 Sens=0.0992 thr=0.35 feasible=1
[w/o HGNN] Epoch 45/80 | loss_total=2.4287 recon=0.0067 hsic=0.0203 pred=0.2869 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep50 | score=1002.0204 AUC=0.7560 Acc=0.8307 F1=0.5128 PEHE=0.0553 dCATE=0.1858 Sens=0.0987 thr=0.32 feasible=1
[w/o HGNN] Epoch 50/80 | loss_total=2.7777 recon=0.0067 hsic=0.0203 pred=0.2733 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep55 | score=1001.9525 AUC=0.7495 Acc=0.8029 F1=0.4986 PEHE=0.0620 dCATE=0.1844 Sens=0.1076 thr=0.27 feasible=1
[w/o HGNN] Epoch 55/80 | loss_total=2.6829 recon=0.0066 hsic=0.0201 pred=0.2628 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep60 | score=1001.9288 AUC=0.7376 Acc=0.8029 F1=0.4840 PEHE=0.0622 dCATE=0.1930 Sens=0.1096 thr=0.27 feasible=1
[w/o HGNN] Epoch 60/80 | loss_total=2.5695 recon=0.0064 hsic=0.0200 pred=0.2510 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep65 | score=1001.9036 AUC=0.7303 Acc=0.7829 F1=0.4909 PEHE=0.0634 dCATE=0.1936 Sens=0.1171 thr=0.18 feasible=1
[w/o HGNN] Epoch 65/80 | loss_total=2.4849 recon=0.0060 hsic=0.0200 pred=0.2422 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep70 | score=1001.9174 AUC=0.7192 Acc=0.8352 F1=0.4825 PEHE=0.0647 dCATE=0.1939 Sens=0.1215 thr=0.47 feasible=1
[w/o HGNN] Epoch 70/80 | loss_total=2.4045 recon=0.0060 hsic=0.0199 pred=0.2344 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep75 | score=1001.8958 AUC=0.7172 Acc=0.7996 F1=0.4886 PEHE=0.0659 dCATE=0.1986 Sens=0.1226 thr=0.22 feasible=1
[w/o HGNN] Epoch 75/80 | loss_total=2.3759 recon=0.0059 hsic=0.0199 pred=0.2310 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep80 | score=1001.8878 AUC=0.7111 Acc=0.8252 F1=0.4818 PEHE=0.0697 dCATE=0.2039 Sens=0.1342 thr=0.42 feasible=1
[w/o HGNN] Epoch 80/80 | loss_total=2.2949 recon=0.0058 hsic=0.0198 pred=0.2228 distill=0.0000 aux=0.0000
[w/o HGNN] Restored best checkpoint at epoch 20 (score=1002.1936, thr=0.38, alpha=0.35)
[w/o VAE] Epoch 5/80 | loss_total=0.0633 recon=0.0312 hsic=0.0230 pred=0.3534 distill=0.0000 aux=0.0000
[w/o VAE] Epoch 10/80 | loss_total=0.0399 recon=0.0092 hsic=0.0227 pred=0.3446 distill=0.0000 aux=0.0000
[w/o VAE] Epoch 15/80 | loss_total=0.0377 recon=0.0068 hsic=0.0222 pred=0.3426 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep20 | score=1002.3017 AUC=0.7981 Acc=0.8196 F1=0.5714 PEHE=0.0061 dCATE=0.1761 Sens=0.0040 thr=0.27 feasible=1
[w/o VAE] Epoch 20/80 | loss_total=0.0353 recon=0.0049 hsic=0.0216 pred=0.3434 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep25 | score=1002.3038 AUC=0.7976 Acc=0.8207 F1=0.5729 PEHE=0.0043 dCATE=0.1732 Sens=0.0039 thr=0.26 feasible=1
[w/o VAE] Epoch 25/80 | loss_total=0.0324 recon=0.0032 hsic=0.0215 pred=0.3414 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep30 | score=1002.3026 AUC=0.7968 Acc=0.8218 F1=0.5745 PEHE=0.0037 dCATE=0.1693 Sens=0.0039 thr=0.26 feasible=1
[w/o VAE] Epoch 30/80 | loss_total=0.0318 recon=0.0029 hsic=0.0210 pred=0.3396 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep35 | score=1002.3156 AUC=0.7977 Acc=0.8296 F1=0.5785 PEHE=0.0057 dCATE=0.1730 Sens=0.0037 thr=0.27 feasible=1
[w/o VAE] Epoch 35/80 | loss_total=0.0318 recon=0.0027 hsic=0.0206 pred=0.3397 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep40 | score=1002.3056 AUC=0.7962 Acc=0.8229 F1=0.5760 PEHE=0.0068 dCATE=0.1742 Sens=0.0035 thr=0.25 feasible=1
[w/o VAE] Epoch 40/80 | loss_total=0.0315 recon=0.0024 hsic=0.0205 pred=0.3382 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep45 | score=1002.3064 AUC=0.7955 Acc=0.8252 F1=0.5768 PEHE=0.0036 dCATE=0.1683 Sens=0.0036 thr=0.27 feasible=1
[w/o VAE] Epoch 45/80 | loss_total=0.0308 recon=0.0019 hsic=0.0202 pred=0.3377 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep50 | score=1002.3251 AUC=0.7954 Acc=0.8396 F1=0.5789 PEHE=0.0041 dCATE=0.1737 Sens=0.0036 thr=0.29 feasible=1
[w/o VAE] Epoch 50/80 | loss_total=0.0310 recon=0.0019 hsic=0.0200 pred=0.3400 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep55 | score=1002.3016 AUC=0.7956 Acc=0.8218 F1=0.5745 PEHE=0.0034 dCATE=0.1686 Sens=0.0037 thr=0.26 feasible=1
[w/o VAE] Epoch 55/80 | loss_total=0.0308 recon=0.0018 hsic=0.0198 pred=0.3394 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep60 | score=1002.3236 AUC=0.7947 Acc=0.8396 F1=0.5765 PEHE=0.0032 dCATE=0.1746 Sens=0.0036 thr=0.30 feasible=1
[w/o VAE] Epoch 60/80 | loss_total=0.0304 recon=0.0017 hsic=0.0196 pred=0.3376 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep65 | score=1002.3126 AUC=0.7951 Acc=0.8263 F1=0.5784 PEHE=0.0029 dCATE=0.1711 Sens=0.0036 thr=0.27 feasible=1
[w/o VAE] Epoch 65/80 | loss_total=0.0302 recon=0.0015 hsic=0.0196 pred=0.3393 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep70 | score=1002.3149 AUC=0.7945 Acc=0.8274 F1=0.5799 PEHE=0.0031 dCATE=0.1715 Sens=0.0037 thr=0.27 feasible=1
