Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.7090 recon=0.0442 hsic=0.0207 pred=0.3381 distill=0.0000 aux=0.3609
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.6128 recon=0.0158 hsic=0.0216 pred=0.3320 distill=0.0000 aux=0.3522
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.5531 recon=0.0101 hsic=0.0220 pred=0.3257 distill=0.0000 aux=0.3509
[Full DLC (SOTA)] Val@Ep20 | score=1002.1802 AUC=0.7924 Acc=0.8374 F1=0.5655 PEHE=0.0858 dCATE=0.1687 Sens=0.0005 thr=0.30 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.4907 recon=0.0078 hsic=0.0220 pred=0.3198 distill=0.0000 aux=0.3449
[Full DLC (SOTA)] Val@Ep25 | score=1002.1580 AUC=0.7882 Acc=0.8196 F1=0.5598 PEHE=0.0819 dCATE=0.1658 Sens=0.0004 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.4703 recon=0.0055 hsic=0.0222 pred=0.3150 distill=0.0000 aux=0.3458
[Full DLC (SOTA)] Val@Ep30 | score=1002.1841 AUC=0.7878 Acc=0.8229 F1=0.5644 PEHE=0.0809 dCATE=0.1825 Sens=0.0004 thr=0.26 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.5017 recon=0.0048 hsic=0.0221 pred=0.3140 distill=0.0000 aux=0.3472
[Full DLC (SOTA)] Val@Ep35 | score=1002.1895 AUC=0.7858 Acc=0.8174 F1=0.5638 PEHE=0.0824 dCATE=0.1971 Sens=0.0003 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.4822 recon=0.0049 hsic=0.0222 pred=0.3093 distill=0.0000 aux=0.3422
[Full DLC (SOTA)] Val@Ep40 | score=1002.1572 AUC=0.7846 Acc=0.8073 F1=0.5483 PEHE=0.0771 dCATE=0.1848 Sens=0.0003 thr=0.20 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.4983 recon=0.0046 hsic=0.0221 pred=0.3075 distill=0.0000 aux=0.3433
[Full DLC (SOTA)] Val@Ep45 | score=1002.1738 AUC=0.7846 Acc=0.8185 F1=0.5534 PEHE=0.0757 dCATE=0.1843 Sens=0.0004 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.4931 recon=0.0038 hsic=0.0220 pred=0.3042 distill=0.0000 aux=0.3408
[Full DLC (SOTA)] Val@Ep50 | score=1002.1803 AUC=0.7862 Acc=0.8140 F1=0.5523 PEHE=0.0733 dCATE=0.1905 Sens=0.0003 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.5257 recon=0.0038 hsic=0.0220 pred=0.3042 distill=0.0000 aux=0.3413
[Full DLC (SOTA)] Val@Ep55 | score=1002.1885 AUC=0.7850 Acc=0.8151 F1=0.5538 PEHE=0.0725 dCATE=0.1962 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.5213 recon=0.0038 hsic=0.0216 pred=0.3039 distill=0.0000 aux=0.3404
[Full DLC (SOTA)] Val@Ep60 | score=1002.1735 AUC=0.7834 Acc=0.8118 F1=0.5445 PEHE=0.0724 dCATE=0.1963 Sens=0.0004 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.5218 recon=0.0039 hsic=0.0213 pred=0.3043 distill=0.0000 aux=0.3413
[Full DLC (SOTA)] Val@Ep65 | score=1002.1786 AUC=0.7832 Acc=0.8118 F1=0.5493 PEHE=0.0733 dCATE=0.1970 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.4934 recon=0.0035 hsic=0.0214 pred=0.3020 distill=0.0000 aux=0.3381
[Full DLC (SOTA)] Val@Ep70 | score=1002.1838 AUC=0.7838 Acc=0.8129 F1=0.5508 PEHE=0.0731 dCATE=0.1988 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 70/100 | loss_total=3.4834 recon=0.0035 hsic=0.0210 pred=0.3008 distill=0.0000 aux=0.3388
[Full DLC (SOTA)] Val@Ep75 | score=1002.1781 AUC=0.7840 Acc=0.8140 F1=0.5474 PEHE=0.0736 dCATE=0.1968 Sens=0.0004 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 75/100 | loss_total=3.4596 recon=0.0035 hsic=0.0209 pred=0.2987 distill=0.0000 aux=0.3367
[Full DLC (SOTA)] Val@Ep80 | score=1002.1785 AUC=0.7821 Acc=0.8096 F1=0.5512 PEHE=0.0738 dCATE=0.1985 Sens=0.0004 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 80/100 | loss_total=3.4623 recon=0.0035 hsic=0.0208 pred=0.2985 distill=0.0000 aux=0.3373
[Full DLC (SOTA)] Val@Ep85 | score=1002.1749 AUC=0.7820 Acc=0.8140 F1=0.5474 PEHE=0.0738 dCATE=0.1959 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 85/100 | loss_total=3.4383 recon=0.0033 hsic=0.0208 pred=0.2969 distill=0.0000 aux=0.3351
[Full DLC (SOTA)] Val@Ep90 | score=1002.1672 AUC=0.7834 Acc=0.8073 F1=0.5459 PEHE=0.0738 dCATE=0.1939 Sens=0.0004 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 90/100 | loss_total=3.4363 recon=0.0033 hsic=0.0208 pred=0.2967 distill=0.0000 aux=0.3353
[Full DLC (SOTA)] Val@Ep95 | score=1002.1707 AUC=0.7833 Acc=0.8073 F1=0.5483 PEHE=0.0740 dCATE=0.1951 Sens=0.0004 thr=0.21 feasible=1
[Full DLC (SOTA)] Epoch 95/100 | loss_total=3.4266 recon=0.0034 hsic=0.0205 pred=0.2957 distill=0.0000 aux=0.3332
[Full DLC (SOTA)] Val@Ep100 | score=1002.1627 AUC=0.7839 Acc=0.8073 F1=0.5435 PEHE=0.0737 dCATE=0.1916 Sens=0.0005 thr=0.21 feasible=1
