Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/100 | loss_total=3.2015 recon=0.0512 hsic=0.0210 pred=0.3401 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 10/100 | loss_total=3.1183 recon=0.0145 hsic=0.0221 pred=0.3344 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Epoch 15/100 | loss_total=3.0666 recon=0.0092 hsic=0.0224 pred=0.3289 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep20 | score=1002.1984 AUC=0.7903 Acc=0.8274 F1=0.5682 PEHE=0.0700 dCATE=0.1696 Sens=0.0002 thr=0.29 feasible=1
[Full DLC (SOTA)] Epoch 20/100 | loss_total=3.0401 recon=0.0091 hsic=0.0223 pred=0.3257 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep25 | score=1002.1937 AUC=0.7894 Acc=0.8274 F1=0.5609 PEHE=0.0761 dCATE=0.1837 Sens=0.0002 thr=0.28 feasible=1
[Full DLC (SOTA)] Epoch 25/100 | loss_total=3.0052 recon=0.0058 hsic=0.0226 pred=0.3187 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep30 | score=1002.1740 AUC=0.7883 Acc=0.8174 F1=0.5591 PEHE=0.0754 dCATE=0.1742 Sens=0.0002 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 30/100 | loss_total=3.0225 recon=0.0057 hsic=0.0223 pred=0.3146 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep35 | score=1002.1777 AUC=0.7890 Acc=0.8073 F1=0.5553 PEHE=0.0740 dCATE=0.1879 Sens=0.0002 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 35/100 | loss_total=3.0517 recon=0.0054 hsic=0.0221 pred=0.3127 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep40 | score=1002.1824 AUC=0.7877 Acc=0.8318 F1=0.5572 PEHE=0.0706 dCATE=0.1669 Sens=0.0003 thr=0.30 feasible=1
[Full DLC (SOTA)] Epoch 40/100 | loss_total=3.0680 recon=0.0055 hsic=0.0220 pred=0.3092 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep45 | score=1002.1816 AUC=0.7830 Acc=0.8296 F1=0.5513 PEHE=0.0709 dCATE=0.1801 Sens=0.0003 thr=0.30 feasible=1
[Full DLC (SOTA)] Epoch 45/100 | loss_total=3.0843 recon=0.0047 hsic=0.0216 pred=0.3063 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep50 | score=1002.1737 AUC=0.7871 Acc=0.8185 F1=0.5485 PEHE=0.0670 dCATE=0.1746 Sens=0.0004 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 50/100 | loss_total=3.1405 recon=0.0048 hsic=0.0215 pred=0.3075 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep55 | score=1002.1797 AUC=0.7878 Acc=0.8196 F1=0.5475 PEHE=0.0676 dCATE=0.1810 Sens=0.0004 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 55/100 | loss_total=3.1294 recon=0.0049 hsic=0.0212 pred=0.3066 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep60 | score=1002.1835 AUC=0.7858 Acc=0.8129 F1=0.5532 PEHE=0.0678 dCATE=0.1858 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 60/100 | loss_total=3.0982 recon=0.0049 hsic=0.0209 pred=0.3033 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep65 | score=1002.1697 AUC=0.7830 Acc=0.8073 F1=0.5483 PEHE=0.0686 dCATE=0.1863 Sens=0.0004 thr=0.22 feasible=1
[Full DLC (SOTA)] Epoch 65/100 | loss_total=3.0991 recon=0.0044 hsic=0.0209 pred=0.3034 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep70 | score=1002.1730 AUC=0.7825 Acc=0.8174 F1=0.5393 PEHE=0.0697 dCATE=0.1944 Sens=0.0005 thr=0.25 feasible=1
[Full DLC (SOTA)] Epoch 70/100 | loss_total=3.0729 recon=0.0046 hsic=0.0207 pred=0.3010 distill=0.0000 aux=0.0000
[Full DLC (SOTA)] Val@Ep75 | score=1002.1744 AUC=0.7856 Acc=0.8185 F1=0.5408 PEHE=0.0682 dCATE=0.1878 Sens=0.0005 thr=0.24 feasible=1
